grade,Marbling,Color,Texture,Surface_Moisture,Total,image_path
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00085.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00086.jpg
등심1++,4.0,6.0,4.0,4.0,4.0,./meat_dataset/등심1++/등심1++_00087.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00088.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00089.jpg
등심1++,4.0,6.0,4.0,4.0,4.0,./meat_dataset/등심1++/등심1++_00090.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00091.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00092.jpg
등심1++,8.0,8.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00093.jpg
등심1++,10.0,4.0,8.0,4.0,10.0,./meat_dataset/등심1++/등심1++_00094.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00095.jpg
등심1++,6.0,10.0,6.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00096.jpg
등심1++,8.0,6.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00097.jpg
등심1++,4.0,6.0,4.0,4.0,4.0,./meat_dataset/등심1++/등심1++_00098.jpg
등심1++,6.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00099.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00101.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00102.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00103.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00104.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00105.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00106.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00107.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00108.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00109.jpg
등심1++,8.0,8.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00110.jpg
등심1++,6.0,8.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00111.jpg
등심1++,6.0,8.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00112.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00113.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00114.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00115.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00116.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00117.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00118.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00119.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00120.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00121.jpg
등심1++,6.0,6.0,4.0,4.0,4.0,./meat_dataset/등심1++/등심1++_00122.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00123.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00124.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00125.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00126.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00128.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00130.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00131.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00132.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00133.jpg
등심1++,8.0,4.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00134.jpg
등심1++,6.0,6.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00135.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00136.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00137.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00138.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00139.jpg
등심1++,10.0,4.0,8.0,4.0,10.0,./meat_dataset/등심1++/등심1++_00141.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00142.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00143.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00144.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00145.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00146.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00147.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00148.jpg
등심1++,8.0,4.0,8.0,4.0,10.0,./meat_dataset/등심1++/등심1++_00149.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00150.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00151.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00152.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00153.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00154.jpg
등심1++,4.0,6.0,4.0,4.0,4.0,./meat_dataset/등심1++/등심1++_00155.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00156.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00157.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00158.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00159.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00160.jpg
등심1++,8.0,8.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00161.jpg
등심1++,8.0,10.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00162.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00163.jpg
등심1++,4.0,6.0,4.0,4.0,4.0,./meat_dataset/등심1++/등심1++_00164.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00165.jpg
등심1++,2.0,8.0,2.0,8.0,2.0,./meat_dataset/등심1++/등심1++_00166.jpg
등심1++,8.0,8.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00168.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00169.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00170.jpg
등심1++,6.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00172.jpg
등심1++,6.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00173.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00174.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00175.jpg
등심1++,8.0,6.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00176.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00177.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00178.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00179.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00180.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00181.jpg
등심1++,8.0,6.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00182.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00183.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00184.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00185.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00186.jpg
등심1++,6.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00187.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00188.jpg
등심1++,6.0,6.0,4.0,8.0,4.0,./meat_dataset/등심1++/등심1++_00189.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00190.jpg
등심1++,6.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00191.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00192.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00193.jpg
등심1++,10.0,4.0,8.0,4.0,10.0,./meat_dataset/등심1++/등심1++_00194.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00195.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00196.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00197.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00198.jpg
등심1++,8.0,8.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00199.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00202.jpg
등심1++,8.0,6.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00203.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00204.jpg
등심1++,6.0,8.0,6.0,8.0,6.0,./meat_dataset/등심1++/등심1++_00205.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00206.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00207.jpg
등심1++,8.0,6.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00208.jpg
등심1++,2.0,4.0,2.0,8.0,2.0,./meat_dataset/등심1++/등심1++_00209.jpg
등심1++,10.0,6.0,8.0,4.0,10.0,./meat_dataset/등심1++/등심1++_00210.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00211.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00212.jpg
등심1++,10.0,4.0,8.0,4.0,10.0,./meat_dataset/등심1++/등심1++_00213.jpg
등심1++,8.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00214.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00215.jpg
등심1++,4.0,6.0,4.0,4.0,4.0,./meat_dataset/등심1++/등심1++_00216.jpg
등심1++,4.0,6.0,4.0,4.0,4.0,./meat_dataset/등심1++/등심1++_00217.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00218.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00219.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00220.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00221.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00222.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00223.jpg
등심1++,6.0,8.0,6.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00224.jpg
등심1++,10.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00225.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00226.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00227.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00228.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00229.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00230.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00231.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00232.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00233.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00234.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00235.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00236.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00237.jpg
등심1++,10.0,6.0,8.0,4.0,10.0,./meat_dataset/등심1++/등심1++_00238.jpg
등심1++,4.0,6.0,4.0,8.0,4.0,./meat_dataset/등심1++/등심1++_00239.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00240.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00241.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00242.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00243.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00244.jpg
등심1++,10.0,6.0,8.0,4.0,10.0,./meat_dataset/등심1++/등심1++_00245.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00246.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00247.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00248.jpg
등심1++,6.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00249.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00250.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00251.jpg
등심1++,6.0,6.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00252.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00253.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00254.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00255.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00256.jpg
등심1++,4.0,6.0,6.0,4.0,4.0,./meat_dataset/등심1++/등심1++_00257.jpg
등심1++,8.0,8.0,4.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00258.jpg
등심1++,8.0,6.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00259.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00260.jpg
등심1++,6.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00261.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00262.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00263.jpg
등심1++,6.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00264.jpg
등심1++,6.0,6.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00265.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00266.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00267.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00268.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00269.jpg
등심1++,2.0,8.0,2.0,8.0,2.0,./meat_dataset/등심1++/등심1++_00270.jpg
등심1++,10.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00271.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00272.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00273.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00274.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00275.jpg
등심1++,8.0,4.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00276.jpg
등심1++,8.0,8.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00277.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00278.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00279.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00280.jpg
등심1++,8.0,4.0,8.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00281.jpg
등심1++,6.0,4.0,8.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00282.jpg
등심1++,4.0,8.0,4.0,6.0,4.0,./meat_dataset/등심1++/등심1++_00283.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00284.jpg
등심1++,6.0,8.0,6.0,6.0,6.0,./meat_dataset/등심1++/등심1++_00285.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00286.jpg
등심1++,6.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00287.jpg
등심1++,8.0,8.0,6.0,4.0,8.0,./meat_dataset/등심1++/등심1++_00288.jpg
등심1++,8.0,6.0,6.0,4.0,6.0,./meat_dataset/등심1++/등심1++_00289.jpg
